Id,Point
7845,"51.6894,-3.2075"
7846,"51.8748,-2.27501"
7852,"53.0631,-3.55787"
7854,"53.2094,-3.12541"
7873,"53.1158,-3.29667"
7874,"53.1492,-3.19682"
7875,"52.9633,-3.72484"
7878,"52.0676,-3.44692"
7880,"53.0714,-3.1305"
7881,"52.9452,-3.66673"
7884,"53.0259,-2.95351"
7885,"53.1685,-4.06572"
7886,"53.3395,-4.44091"
7887,"51.7704,-4.00048"
7888,"51.7381,-3.5068"
7889,"51.5353,-3.33812"
7890,"51.7183,-3.0303"
7891,"51.939,-3.40159"
7892,"52.3021,-3.1684"
7893,"52.0049,-3.23679"
7894,"52.3611,-3.42604"
7898,"52.9076,-3.58463"
7903,"51.6814,-3.54428"
7908,"51.6841,-3.29869"
7914,"51.7553,-3.12997"
7915,"51.5548,-3.40326"
7917,"51.7869,-4.63636"
7918,"51.8725,-3.47861"
7920,"53.2646,-3.45101"
7921,"53.2197,-3.20903"
7922,"53.1686,-3.56959"
7923,"52.1273,-4.25028"
7924,"51.8008,-4.24246"
7925,"51.5701,-4.08408"
7926,"51.6579,-3.3975"
7927,"51.7807,-3.29904"
7931,"52.3205,-3.05777"
7933,"52.4387,-4.03219"
7934,"52.3586,-3.80334"
7937,"52.0054,-4.26697"
7938,"52.1129,-4.65502"
7939,"52.2811,-3.86541"
7941,"52.0448,-3.74689"
7943,"51.9454,-4.50391"
7944,"52.1092,-3.77185"
7947,"51.7,-4.14895"
7948,"51.6634,-4.11025"
7949,"51.6537,-4.03241"
7950,"51.8198,-3.85915"
7951,"51.7092,-3.70231"
7952,"51.5111,-3.56213"
7953,"51.6616,-3.70609"
7954,"51.6358,-3.52527"
7955,"51.576,-2.81492"
7956,"52.5182,-2.88245"
7957,"52.3074,-2.7283"
7958,"52.4813,-2.57877"
7959,"52.0235,-2.92126"
7960,"51.9521,-2.73617"
7961,"52.8862,-2.18274"
7962,"52.4167,-2.83684"
7963,"52.0531,-2.73646"
7964,"52.3259,-2.22664"
7973,"53.1391,-3.67764"
7974,"52.2099,-3.81414"
7975,"51.5345,-3.22719"
7976,"51.679,-3.48811"
7977,"51.5973,-3.03336"
7978,"51.7572,-3.06026"
7979,"52.4042,-3.60685"
7981,"52.0626,-4.58468"
7983,"51.8342,-3.96009"
7984,"51.7215,-3.75418"
7985,"52.1013,-3.6183"
8010,"52.1748,-1.73564"
8014,"52.9863,-1.16369"
8023,"53.0482,-1.6391"
8035,"52.2058,-1.60491"
8036,"52.4171,-1.12535"
8037,"51.8751,-2.01927"
8038,"52.0317,-2.43529"
8039,"51.759,-2.61206"
8040,"52.1871,-1.41873"
8041,"52.3626,-1.50919"
8042,"52.3091,-1.77415"
8053,"52.4811,-1.55905"
8054,"51.7498,-2.3362"
8055,"51.8996,-2.41274"
8056,"52.2882,-1.22287"
8057,"52.2,-2.09717"
8058,"52.0513,-1.76345"
8059,"52.1407,-1.97441"
8060,"52.3925,-1.32448"
8061,"52.6393,-2.32623"
8062,"52.0169,-2.65276"
8063,"52.4079,-2.3354"
8064,"52.3438,-1.95477"
